SYMBOL,INDUSTRY,3D,5D,10D,15D,20D,50D,100D,150D
EMKAY,Stockbroking & Allied,-0.62,5.45,-5.49,-9.92,-16.33,,,
EMMBI,Packaging,4.07,3.69,1.28,-4.13,-6.04,-10.6,7.87,-28.57
EMSLIMITED,Waste Management,0.05,0.76,-7.28,-8.47,-10.62,-5.34,-15.94,-31.76
EMUDHRA,IT Enabled Services,-1.56,-0.03,-1.99,-4.68,-9.79,-0.03,-13.79,-18.9
EMULTIMQ,Unknown,0.34,1.35,0.61,-0.72,-3.87,-5.04,6.68,-6.3
ENDURANCE,Auto Components & Equipments,2.8,13.23,12.78,11.01,9.27,13.53,43.55,36.89
ENGINERSIN,Civil Construction,2.05,-2.99,-4.75,-9.5,-18.86,-15.05,17.33,10.44
ENIL,Media & Entertainment,-1.75,-1.0,4.85,10.02,8.33,6.83,18.24,-9.26
ENRIN,Heavy Electrical Equipment,4.08,4.27,4.29,2.19,9.53,,,
ENTERO,Pharmacy Retail,-1.45,2.65,-2.29,-5.07,3.47,2.77,8.01,-14.39
EPACK,Household Appliances,0.79,0.32,-0.84,4.05,4.86,5.54,5.74,-36.93
EPIGRAL,Specialty Chemicals,0.69,1.54,2.29,-9.35,5.03,3.58,-4.38,4.24
EPL,Packaging,0.97,3.62,5.41,5.52,2.12,-1.04,11.9,-3.83
EQUAL200,Unknown,0.78,2.12,2.12,0.46,-1.14,-1.22,6.82,
EQUAL50,Unknown,0.92,2.65,3.44,2.83,1.26,2.01,,
EQUAL50ADD,Unknown,0.83,2.32,3.21,2.85,0.82,1.16,8.56,8.92
EQUITASBNK,Other Bank,-0.04,0.92,-4.19,-8.68,-12.32,-20.66,-4.17,-20.46
ERIS,Pharmaceuticals,1.11,4.59,1.55,-3.58,-0.94,2.12,28.78,34.65
ESABINDIA,Other Industrial Products,9.66,8.07,5.33,1.38,-5.1,6.13,16.89,-0.64
ESAFSFB,Other Bank,0.07,-0.27,-1.42,-4.93,-7.97,-11.11,7.59,-23.17
ESCORTS,Tractors,-1.32,5.97,5.61,4.26,2.79,11.3,9.28,5.49
ESG,Unknown,1.01,2.4,2.67,1.41,0.16,0.96,7.57,8.71
ESILVER,ETF,-0.87,-2.04,-0.24,-0.68,-2.66,5.94,15.41,25.05
ESSENTIA,Trading & Distributors,0.0,1.03,2.6,-3.43,-6.19,-15.45,-18.26,
ESTER,Packaging,-1.69,1.26,0.51,-12.19,-10.19,-20.84,-16.24,-30.67
ETERNAL,E-Retail/ E-Commerce,2.19,3.03,7.68,6.05,6.54,25.18,,
ETHOSLTD,"Gems, Jewellery And Watches",-3.09,-7.53,-9.82,-7.95,-10.49,-14.5,1.69,-8.94
EUREKAFORB,Household Appliances,-1.92,-1.97,-4.79,-2.35,-2.67,-9.84,3.95,-7.71
EUROBOND,"Aluminium, Copper & Zinc Products",0.61,4.42,8.12,,,,,
EUROTEXIND,Other Textile Products,-5.45,-4.53,-1.65,-0.8,-5.38,-8.29,,
EVEREADY,Household Products,8.01,6.24,6.35,8.15,5.96,32.85,44.94,14.91
EVERESTIND,Other Construction Materials,12.93,15.24,0.25,-7.96,-8.07,-22.03,,
EVIETF,ETF,1.77,4.68,4.82,3.65,2.46,1.47,,
EVINDIA,Unknown,1.44,4.13,4.49,3.28,1.88,1.24,9.08,1.99
EXCELINDUS,Specialty Chemicals,10.59,4.06,1.17,-6.85,-6.06,6.54,34.9,1.19
EXICOM,Heavy Electrical Equipment,5.56,5.32,0.29,-11.58,-13.45,-29.89,-8.84,-43.9
EXIDEIND,Auto Components & Equipments,6.42,6.59,4.95,2.4,2.22,-1.26,9.41,0.75
EXPLEOSOL,IT Enabled Services,4.43,-5.26,-6.89,-13.09,-13.27,-2.89,20.85,-20.01
FACT,Fertilizers,4.79,2.38,7.4,4.98,7.21,-4.32,49.4,5.04
FAIRCHEMOR,Specialty Chemicals,-2.21,-2.53,-3.69,-6.73,-12.12,-17.6,-15.68,-18.08
FAZE3Q,Other Textile Products,-1.35,4.34,-10.08,-27.42,-29.76,-11.65,41.41,22.57
FCL,Specialty Chemicals,3.61,6.99,6.33,-5.13,-8.14,-8.92,5.24,-17.84
FCSSOFT,IT Enabled Services,0.82,3.35,1.65,-3.14,-8.52,-12.1,-7.14,-22.08
FDC,Pharmaceuticals,0.31,-1.11,0.71,-1.47,-2.54,5.31,15.03,-2.25
FEDERALBNK,Private Sector Bank,1.86,1.65,1.04,-2.56,-6.29,-4.18,1.85,3.1
FEDFINA,Non Banking Financial Company (NBFC),1.91,6.72,8.72,5.39,10.42,19.82,52.02,36.89
FIBERWEB,Other Textile Products,-3.17,-2.2,1.63,-0.82,-2.63,-8.55,11.44,-9.22
FIEMIND,Auto Components & Equipments,3.31,10.54,8.33,3.63,1.8,7.78,44.39,38.96
FILATEX,Other Textile Products,2.78,1.44,-1.1,-7.73,-8.02,-5.67,36.57,-7.16
FILATFASH,Garments & Apparels,0.0,0.0,-1.75,-11.11,-16.42,,,
FINCABLES,Cables - Electricals,2.9,2.62,-1.32,-4.93,-7.76,-14.15,-9.39,-21.64
FINEORG,Specialty Chemicals,0.51,-0.31,-6.64,-8.39,-9.44,-0.01,21.69,5.72
FINIETF,ETF,-0.89,1.28,2.41,1.24,-2.17,-2.43,11.74,18.17
FINOPB,Other Bank,10.17,7.39,10.62,5.45,-1.93,2.05,18.96,-13.27
FINPIPE,Plastic Products - Industrial,4.89,9.16,6.55,-2.21,0.08,-7.42,12.26,-7.78
FIRSTCRY,E-Retail/ E-Commerce,5.15,3.79,8.98,12.08,7.25,1.06,3.39,-29.85
FISCHER,Medical Equipment & Supplies,3.96,9.17,8.37,8.26,7.24,,,
FIVESTAR,Non Banking Financial Company (NBFC),-2.18,0.87,0.16,-4.33,-19.85,-27.06,-18.84,-18.86
FLAIR,Stationary,0.97,0.18,-3.26,-11.14,-2.94,17.61,30.84,19.08
FLEXITUFF,Unknown,4.63,-5.63,,,,,,
FLUOROCHEM,Specialty Chemicals,-0.16,-0.2,-6.75,-5.73,-5.59,-9.69,-14.92,-14.15
FMCGIETF,ETF,1.52,2.25,1.92,2.48,0.96,0.96,6.82,-0.86
FMGOETZE,Auto Components & Equipments,1.65,2.73,-2.07,-8.41,-10.38,3.8,58.25,34.88
FMNL,Diversified Commercial Services,1.38,-3.98,-9.53,,,,,
FORCEMOT,Passenger Cars & Utility Vehicles,9.78,9.23,20.55,23.92,27.75,80.88,146.18,234.6
FORTIS,Hospital,0.99,0.19,10.42,12.44,15.04,23.98,45.06,32.85
FOSECOIND,Specialty Chemicals,16.92,15.03,12.12,2.27,15.39,19.27,51.1,33.88
FSL,Business Process Outsourcing (BPO)/ Knowledge Process Outsourcing (KPO),3.35,1.14,5.65,11.14,6.68,-4.03,15.74,-6.01
FUSION,Microfinance Institutions,4.28,6.92,5.9,-2.32,-10.12,-14.2,5.19,-13.88
GABRIEL,Auto Components & Equipments,4.65,8.15,19.0,14.3,19.36,87.71,100.89,163.19
GAEL,Other Agricultural Products,1.32,0.73,-0.1,-4.26,-5.57,-12.53,-2.02,-11.91
GAIL,Gas Transmission/Marketing,2.37,2.54,4.63,-1.55,-4.62,-11.15,-1.94,-2.87
GALAPREC,Industrial Products,2.13,3.07,1.07,1.37,-5.0,-10.47,-4.68,-31.73
GALAXYSURF,Specialty Chemicals,-0.36,-4.86,-10.57,-17.33,-13.96,-9.69,2.67,-10.36
GALLANTT,Iron & Steel Products,-2.14,-11.5,-19.9,-18.03,-0.36,34.7,76.37,84.37
GANDHAR,Lubricants,2.59,1.12,-5.86,-8.56,-9.24,-12.78,1.57,-25.96
GANDHITUBE,Iron & Steel Products,1.86,1.71,3.56,1.18,0.0,7.17,9.86,0.81
GANECOS,Other Textile Products,5.0,-1.32,-3.24,-6.59,-5.57,-7.84,-13.95,-22.88
GANESHBE,Oil Storage & Transportation,-1.46,-4.62,8.29,2.4,-1.59,-13.15,-18.82,-30.55
GANESHHOUC,"Residential, Commercial Projects",-0.32,3.24,4.32,-0.71,0.55,-10.76,-20.57,-31.83
GANGAFORGE,Castings & Forgings,-1.74,-1.17,-3.42,-7.88,-12.18,-21.35,-31.52,-51.71
GANGESSECU,Tea & Coffee,0.2,4.16,7.29,8.35,1.81,1.49,15.45,-11.24
GARFIBRES,Other Textile Products,-0.21,1.0,-4.83,-10.64,-12.93,-9.56,-0.36,-0.58
GARUDA,Civil Construction,4.08,7.61,12.62,1.08,3.83,53.95,73.97,42.33
GATEWAY,Logistics Solution Provider,1.72,2.93,4.72,-2.86,5.61,2.74,10.2,-12.46
GEECEE,"Residential, Commercial Projects",-1.4,-2.32,-5.74,-4.25,-5.6,-8.66,-8.7,-16.41
GEEKAYWIRE,Other Electrical Equipment,2.34,4.64,6.92,0.79,-2.27,-6.79,-16.78,-27.07
GENESYS,IT Enabled Services,4.72,-1.17,6.98,1.24,-3.01,-13.84,-22.38,-41.71
GENUSPAPER,Paper & Paper Products,3.6,1.49,1.04,0.11,-2.38,-9.75,0.33,-13.39
GENUSPOWER,Other Electrical Equipment,1.95,-0.71,-7.0,0.55,-4.3,-12.3,23.18,-6.8
GEOJITFSL,Stockbroking & Allied,1.22,2.65,3.6,2.38,-0.8,-13.86,-0.89,-29.25
GEPIL,Heavy Electrical Equipment,5.38,7.83,16.96,21.97,22.68,9.84,36.21,7.17
GESHIP,Shipping,0.63,2.22,5.16,3.5,-0.96,1.39,3.68,2.92
GFLLIMITED,Holding Company,2.89,1.63,0.82,1.5,-3.91,-8.42,8.17,-25.63
GHCL,Commodity Chemicals,2.8,2.68,4.05,-7.45,-5.51,-8.11,-5.96,-17.29
GHCLTEXTIL,Other Textile Products,1.72,4.08,-1.64,-9.73,-12.47,-15.36,2.9,-11.35
GICHSGFIN,Housing Finance Company,2.52,3.04,-1.57,-4.75,-5.91,-8.62,2.41,-10.33
GICRE,General Insurance,-1.57,-2.78,0.68,0.25,0.6,-5.41,-13.35,-17.64
GILLANDERS,Tea & Coffee,3.51,0.82,-11.38,-13.92,-4.56,-3.92,28.73,
GILLETTE,Personal Care,-0.8,-0.59,-1.97,-2.06,-7.03,1.83,29.49,7.26
GILT5YBEES,ETF,-0.14,-0.08,-0.56,-0.53,-0.62,-0.06,3.91,5.75
GIPCL,Power Generation,3.72,2.02,-0.15,-3.34,-6.49,-8.97,6.11,-14.22
GKWLIMITED,Investment Company,4.74,10.23,8.52,-2.04,-2.61,-16.39,-33.25,
GLAND,Pharmaceuticals,-1.43,-0.28,-0.65,-5.62,-4.57,15.64,20.78,6.28
GLAXO,Pharmaceuticals,-0.49,0.28,1.66,-13.03,-11.21,-17.69,-3.56,25.9
GLENMARK,Pharmaceuticals,-1.67,-4.36,-4.18,-9.88,-9.25,18.68,30.03,21.82
GLOBALE,Trading - Textile Products,2.77,2.84,-1.93,,,,,
GLOBALVECT,Airline,-0.43,-5.56,-6.2,-6.74,-8.15,-8.58,,
GLOBE,Other Textile Products,7.87,7.87,5.43,2.64,-2.92,-14.65,-47.17,
GLOBECIVIL,Civil Construction,5.07,0.26,6.23,-0.5,-10.32,,,
GLOBUSSPR,Breweries & Distilleries,1.1,1.61,2.74,-3.86,6.97,22.23,13.19,47.84
GLOSTERLTD,Jute & Jute Products,0.07,-3.17,6.04,3.62,-0.75,-6.37,13.86,1.64
GMBREW,Breweries & Distilleries,1.31,0.34,-0.51,-2.05,-6.13,-14.18,6.08,-10.12
GMDCLTD,Industrial Minerals,-1.87,2.97,8.01,6.22,-6.55,3.62,55.67,37.57
GMMPFAUDLR,Industrial Products,-5.47,-4.86,-6.22,-9.26,-5.51,7.89,17.22,1.01
GMRAIRPORT,Airport & Airport services,-1.37,0.35,-2.66,-0.98,-2.65,5.34,14.17,16.93
GMRP&UI,Unknown,-0.15,-1.14,6.8,2.52,1.36,4.53,2.69,-4.06
GNA,Auto Components & Equipments,6.51,6.99,7.67,5.99,-4.9,-0.02,-1.18,-20.71
GNFC,Commodity Chemicals,4.79,5.12,-2.28,-2.5,-3.68,-3.61,6.83,-6.56
GOACARBON,Industrial Minerals,-0.44,-0.38,-2.02,-1.63,-5.22,-8.13,1.31,-31.39
GOCLCORP,Explosives,9.1,5.31,13.53,6.33,-0.74,0.96,32.74,4.07
GOCOLORS,Speciality Retail,1.22,1.62,-2.18,-16.38,-19.64,-18.57,1.1,-29.43
GODFRYPHLP,Cigarettes & Tobacco Products,15.42,10.87,2.62,18.62,18.7,35.21,76.42,135.96
GODIGIT,General Insurance,2.15,4.36,4.74,0.34,3.59,8.1,25.26,25.26
GODREJAGRO,Animal Feed,0.45,-2.93,-9.27,-10.12,-11.15,-4.82,-4.09,1.45
GODREJCP,Personal Care,3.18,4.05,3.73,2.53,1.21,1.93,12.75,5.61
GODREJIND,Diversified,0.93,9.39,13.0,12.96,13.86,0.44,3.88,25.03
GODREJPROP,"Residential, Commercial Projects",2.56,4.77,-0.38,-3.56,-11.64,-16.1,-6.19,-17.72
GOKEX,Garments & Apparels,8.28,11.19,10.31,-11.68,-14.11,-16.65,-7.55,-27.36
GOKUL,Edible Oil,1.82,1.84,0.94,-2.39,-3.58,-10.97,-14.07,
GOKULAGRO,Edible Oil,7.97,5.1,12.35,6.89,3.74,17.85,30.57,-6.47
GOLD1,ETF,-0.32,-0.81,-1.14,0.24,-1.4,2.43,12.72,26.5
GOLD360,ETF,-0.1,-0.91,-1.11,0.1,-1.41,2.3,11.82,
GOLDBEES,ETF,-0.24,-0.77,-1.07,0.19,-1.43,2.22,13.08,26.22
GOLDCASE,ETF,-0.44,-0.88,-1.2,0.06,-1.32,2.35,12.32,26.45
GOLDETF,ETF,-0.43,-0.84,-1.06,0.05,-1.27,2.37,12.61,26.57
GOLDETFADD,ETF,-0.31,-0.81,-0.99,0.12,-1.57,2.69,13.19,26.53
GOLDIAM,"Gems, Jewellery And Watches",0.99,-1.08,2.95,7.86,4.4,-0.01,-11.02,-22.94
GOLDIETF,ETF,-0.25,-0.74,-1.08,-0.06,-1.49,2.31,13.24,26.55
GOLDSHARE,ETF,-0.42,-0.89,-1.01,0.18,-1.3,2.26,13.19,26.93
GOLDTECH,Software Products,0.35,1.27,-1.43,2.09,-1.15,-1.78,2.45,
GOODLUCK,Iron & Steel Products,11.91,10.52,6.78,-0.66,-0.1,12.96,44.6,21.81
GOPAL,Packaged Foods,3.44,-0.2,5.51,6.83,4.07,-2.87,29.53,3.94
GOYALALUM,Trading & Distributors,3.35,2.07,1.79,-1.72,-5.36,-10.72,-16.18,-18.66
GPIL,Iron & Steel Products,9.89,9.25,17.17,14.24,15.67,17.01,19.47,13.03
GPPL,Port & Port services,2.02,-0.41,1.24,-1.23,-2.81,-4.17,10.52,-7.34
GPTHEALTH,Hospital,0.38,-1.03,-10.95,-8.03,-4.4,4.04,9.46,-10.63
GPTINFRA,Civil Construction,2.49,1.9,-8.43,-8.33,-11.15,-15.5,3.52,-13.16
GRANULES,Pharmaceuticals,0.14,0.36,5.16,-6.13,-2.91,-13.84,-9.67,-23.76
GRAPHITE,Electrodes & Refractories,-1.3,0.41,0.96,-2.43,-6.0,-1.6,17.63,-1.07
GRASIM,Cement & Cement Products,1.24,4.93,4.17,4.44,6.35,5.84,14.64,19.53
GRAVITA,Industrial Minerals,-0.39,-3.05,-3.09,-8.64,0.52,-5.23,-2.43,-23.07
GREAVESCOT,"Compressors, Pumps & Diesel Engines",0.85,0.77,4.44,1.73,6.01,1.69,-6.01,-18.38
GREENLAM,Plywood Boards/ Laminates,6.96,5.44,3.86,-2.68,-6.39,-6.31,-12.42,-58.23
GREENPANEL,Plywood Boards/ Laminates,-0.93,-0.95,-2.22,-16.86,-15.56,-5.39,13.1,-25.63
GREENPLY,Plywood Boards/ Laminates,0.63,0.67,2.32,-6.5,-8.88,-2.31,6.16,4.94
GREENPOWER,Power Generation,1.05,9.24,8.09,3.66,-0.62,-4.75,8.33,-9.64
GRINDWELL,Abrasives & Bearings,3.55,3.94,3.03,-2.22,-12.85,-14.96,-13.91,-18.06
GRINFRA,Civil Construction,0.95,3.06,3.06,2.38,0.99,-8.43,22.49,-6.67
GRMOVER,Other Agricultural Products,0.01,0.13,2.74,-0.43,-1.85,10.62,33.1,94.07
GROWWDEFNC,Unknown,-1.39,-1.13,-1.32,-1.32,-5.96,-12.64,19.17,19.93
GROWWEV,Unknown,1.04,4.11,4.0,3.36,1.89,1.21,9.2,1.04
GROWWGOLD,ETF,-0.39,-0.92,-1.22,0.15,-1.5,2.09,11.54,26.37
GROWWLIQID,Unknown,0.04,0.1,0.2,0.3,0.39,0.95,2.11,3.36
GROWWLOVOL,Unknown,0.99,3.33,4.27,2.71,1.38,,,
GROWWMOM50,Unknown,0.19,2.14,1.84,0.67,-2.42,-4.81,,
GROWWN200,Unknown,0.98,2.07,2.54,1.34,-0.18,-0.26,5.79,
GROWWNET,Unknown,2.54,3.51,7.59,4.8,3.61,,,
GROWWNIFTY,ETF,1.11,2.03,2.13,0.9,-0.1,,,
GROWWPOWER,Unknown,0.1,-0.2,,,,,,
GROWWRAIL,Unknown,1.63,0.46,-1.27,-4.04,-6.92,-12.45,-2.27,
GROWWSLVR,Unknown,-0.84,-1.64,-0.34,-0.66,-2.45,6.88,,
GRPLTD,Rubber,8.0,7.35,0.72,3.54,-9.84,-21.41,-17.21,-30.84
GRSE,Aerospace & Defense,-3.47,-2.25,-0.62,0.92,-2.53,-16.75,51.34,68.0
GRWRHITECH,Plastic Products - Industrial,7.16,5.22,-7.06,-16.2,-17.99,-31.32,-28.2,-36.97
GSEC10IETF,ETF,-0.75,-0.22,-1.33,-1.13,-1.5,-1.31,2.04,4.55
GSEC10YEAR,Unknown,-0.48,0.0,-0.75,-0.58,-0.92,-0.41,2.94,5.22
GSEC5IETF,ETF,-0.08,-0.25,-0.64,-0.41,-0.4,-0.16,4.26,5.62
GSFC,Fertilizers,3.59,3.58,3.85,1.76,3.26,-0.12,14.96,3.54
GSLSU,Granites & Marbles,-6.47,-6.88,0.89,-0.52,-7.69,-14.57,-9.96,-30.74
GSPL,Gas Transmission/Marketing,0.05,0.74,0.46,-5.64,-8.02,-9.44,3.92,-12.93
GSS,IT Enabled Services,-0.2,4.73,4.62,-3.77,-6.42,-18.86,-21.56,-47.64
GTL,Other Telecom Services,8.64,8.88,8.76,5.3,-0.8,-11.18,9.6,-15.7
GTLINFRA,Telecom - Infrastructure,1.99,6.21,0.65,-1.28,-4.94,-14.92,1.32,-20.62
GTPL,TV Broadcasting & Software Production,1.96,0.41,-0.12,-0.63,-5.77,0.19,3.69,-19.94
GUFICBIO,Pharmaceuticals,1.55,3.59,1.68,-8.66,-4.98,-0.77,5.05,-19.79
GUJALKALI,Commodity Chemicals,3.83,3.07,-2.08,-0.78,-4.98,-4.83,-6.0,-22.7
GUJAPOLLO,Industrial Products,0.82,4.04,5.12,2.92,3.24,39.72,48.05,36.3
GUJGASLTD,LPG/CNG/PNG/LNG Supplier,1.86,2.57,1.45,-2.98,-8.65,-10.18,4.6,-12.76
GUJRAFFIA,Packaging,8.89,4.2,8.11,4.37,2.9,-8.45,,
GUJTHEM,Pharmaceuticals,9.69,8.5,12.33,1.99,5.38,13.72,36.77,
GULFOILLUB,Lubricants,5.72,6.67,8.08,2.84,1.49,1.26,-0.25,11.82
GULFPETRO,Lubricants,0.48,1.64,2.7,0.57,-5.6,-11.23,2.18,-20.67
GULPOLY,Other Agricultural Products,0.8,2.41,-2.73,0.73,-2.96,-9.79,-11.13,-3.21
GVPTECH,Computers - Software & Consulting,0.3,1.3,7.19,2.74,-0.29,2.11,0.4,-7.65
GVT&D,Unknown,-3.42,-6.27,-2.34,5.28,9.34,15.13,71.54,
HAL,Aerospace & Defense,-0.89,-1.11,-1.42,-1.56,-5.13,-11.23,8.33,9.19
HAPPSTMNDS,Computers - Software & Consulting,2.15,2.95,0.86,-4.0,-3.04,-3.61,-7.66,-15.65
HAPPYFORGE,Castings & Forgings,1.62,1.43,-2.0,0.88,-2.03,-1.9,11.71,-5.5
HARDWYN,"Furniture, Home Furnishing",0.79,-0.21,3.79,-0.43,-16.82,-56.41,,
HARIOMPIPE,Iron & Steel Products,0.01,1.0,16.12,7.29,1.74,15.85,31.88,-3.65
HARRMALAYA,Rubber,-1.31,-1.97,5.25,2.24,-1.32,-3.65,3.63,-31.44
HARSHA,Other Industrial Products,1.59,1.18,-0.73,-3.3,2.59,4.35,2.44,-14.2
HATHWAY,TV Broadcasting & Software Production,3.67,3.81,3.45,-0.2,-4.28,-6.72,7.46,-5.07
HATSUN,Dairy Products,1.88,3.78,2.53,0.69,-5.16,-5.45,-5.23,-7.5
HAVELLS,Consumer Electronics,0.06,5.98,4.36,1.68,-1.21,-1.61,4.75,-4.7
HBLENGINE,Other Industrial Products,2.84,4.11,31.92,36.52,35.81,30.06,65.24,33.64
HCG,Hospital,1.44,-0.48,10.93,9.67,18.98,23.6,24.55,40.51
HCLTECH,Computers - Software & Consulting,0.57,-0.51,2.07,1.15,-2.37,-13.26,-6.9,-22.81
HDBFS,Non Banking Financial Company (NBFC),2.17,6.33,7.94,3.67,-0.47,,,
HDFCAMC,Asset Management Company,1.35,5.7,1.99,2.19,3.48,13.08,41.3,46.67
HDFCBANK,Private Sector Bank,-0.62,0.55,0.3,-1.71,-1.64,2.09,10.62,19.39
HDFCBSE500,Unknown,0.68,2.13,2.18,-0.05,-2.66,-0.48,7.62,2.35
HDFCGOLD,ETF,-0.39,-0.76,-1.0,0.07,-1.43,2.19,12.68,26.39
HDFCGROWTH,Unknown,1.49,3.17,3.61,3.09,1.89,3.37,8.24,-0.71
HDFCLIFE,Life Insurance,0.56,2.43,5.7,5.02,4.32,4.09,17.0,29.93
HDFCLIQUID,LIQUID,0.04,0.11,0.2,0.29,0.38,0.93,2.07,2.43
HDFCLOWVOL,Unknown,1.11,2.86,3.72,2.55,2.2,3.01,9.14,6.42
HDFCMID150,Unknown,1.07,2.11,2.07,0.09,-1.72,-1.14,10.97,4.32
HDFCMOMENT,Unknown,-0.19,1.54,2.25,1.41,-1.43,-3.1,7.47,-2.67
HDFCNEXT50,Unknown,0.95,2.2,2.67,1.24,-0.19,-0.43,7.52,4.26
HDFCNIF100,Unknown,0.73,1.73,2.41,1.0,-0.42,-0.19,6.97,6.76
HDFCNIFBAN,Unknown,0.16,0.95,0.9,-0.5,-2.14,-0.73,8.76,13.15
HDFCNIFIT,Unknown,3.19,2.91,3.71,0.62,-3.33,-7.48,-2.7,-15.89
HDFCNIFTY,ETF,0.58,1.67,2.04,0.99,-0.48,0.05,6.78,7.48
HDFCPSUBK,Unknown,0.66,0.95,2.98,2.46,0.59,-0.17,12.82,13.39
HDFCPVTBAN,Unknown,0.4,1.33,0.66,-0.33,-3.27,-2.8,4.93,10.68
HDFCQUAL,Unknown,0.89,2.28,2.97,2.08,0.5,0.12,7.53,2.84
HDFCSENSEX,Unknown,0.76,1.87,1.53,0.38,-0.95,-0.17,5.97,5.98
HDFCSILVER,ETF,-0.92,-1.97,-0.17,-0.84,-2.62,5.98,15.75,25.02
HDFCSML250,Unknown,0.79,1.78,1.6,-1.41,-4.43,-2.5,10.94,-1.15
HDFCVALUE,Unknown,0.84,1.34,2.57,0.57,-1.3,-2.75,0.4,-5.31
HEADSUP,Trading - Textile Products,1.14,1.92,1.92,13.68,9.24,-12.14,-10.74,
HEALTHADD,Unknown,0.58,0.55,3.52,-1.74,0.86,3.39,5.1,0.44
HEALTHIETF,ETF,0.29,0.14,3.53,-2.24,0.64,3.2,4.79,0.18
HEALTHY,Unknown,0.33,-0.07,3.01,-2.08,0.53,3.08,4.58,0.07
HEG,Electrodes & Refractories,-3.36,-1.26,-5.03,-7.04,-8.22,-3.57,15.03,6.24
HEIDELBERG,Cement & Cement Products,-1.5,-0.12,2.1,-0.5,-1.31,9.09,10.2,0.65
HEMIPROP,Diversified Commercial Services,0.32,0.35,3.73,6.65,2.54,-5.78,5.18,-16.04
HERANBA,Pesticides & Agrochemicals,7.41,0.2,-5.35,-11.11,-6.75,24.98,-28.93,
HERITGFOOD,Dairy Products,1.11,1.35,1.77,-0.32,0.07,1.57,16.26,3.65
HEROMOTOCO,2/3 Wheelers,2.27,6.89,13.9,19.9,16.81,15.57,40.56,23.08
HESTERBIO,Pharmaceuticals,6.09,7.2,2.93,8.62,10.51,9.92,45.95,-12.82
HEUBACHIND,Dyes And Pigments,0.04,-0.14,0.23,0.25,-0.03,0.94,1.47,8.28
HEXATRADEX,Investment Company,1.55,-1.54,0.0,-1.76,-2.98,-2.45,-9.07,-28.46
HEXT,Computers - Software & Consulting,10.89,11.69,11.89,13.56,-6.07,-4.3,10.3,
HFCL,Telecom - Infrastructure,-0.18,1.68,-0.08,-5.45,-9.8,-20.5,-14.29,-30.59
HGINFRA,Civil Construction,3.18,1.16,1.04,-4.64,-7.16,-8.75,-10.23,-29.4
HGS,Business Process Outsourcing (BPO)/ Knowledge Process Outsourcing (KPO),1.74,1.35,-5.64,-4.7,-9.01,-2.45,4.3,-19.25
HIKAL,Pharmaceuticals,-1.38,-0.8,-17.57,-23.1,-25.88,-32.6,-40.17,-31.76
HIMATSEIDE,Other Textile Products,2.09,3.48,3.72,-9.61,-17.07,-13.96,-14.9,-29.71
HINDALCO,Aluminium,-0.96,0.97,3.28,2.69,1.71,7.95,0.83,20.03
HINDCOMPOS,Auto Components & Equipments,4.32,3.36,0.81,-3.49,-4.05,-7.16,2.67,-5.81
HINDCON,Specialty Chemicals,-6.15,2.0,-3.51,-6.36,-6.74,-10.1,-34.99,
HINDCOPPER,Copper,-0.63,-0.99,-2.05,-7.18,-13.13,-7.6,0.98,1.71
HINDNATGLS,Unknown,,,,,,,,
HINDOILEXP,Oil Exploration & Production,5.55,7.26,7.38,3.38,1.35,-2.3,-5.76,-8.2
HINDPETRO,Refineries & Marketing,1.58,-4.37,-2.06,-7.77,-9.52,-5.23,8.63,2.17
HINDUNILVR,Diversified FMCG,3.11,6.13,4.43,8.64,8.06,11.43,17.37,8.73
HINDWAREAP,Sanitary Ware,-3.03,9.79,6.65,16.5,14.82,3.45,45.3,12.6
HINDZINC,Zinc,0.88,0.15,2.6,-0.37,-3.58,-17.23,-4.95,-1.56
HIRECT,Industrial Products,-15.29,-11.33,-11.73,-13.38,29.04,27.62,67.9,29.34
HISARMETAL,Iron & Steel Products,5.09,2.57,-7.95,-6.88,-8.47,-2.1,-7.15,-8.28
HITECH,Iron & Steel Products,1.19,0.78,-0.92,-2.96,-7.24,-17.14,-22.66,-40.91
HITECHCORP,Packaging,6.28,2.06,12.77,7.37,1.62,6.83,6.25,-13.31
HLEGLAS,Industrial Products,21.96,18.1,20.35,18.0,19.87,9.1,100.48,40.1
HLVLTD,Hotels & Resorts,8.22,3.51,-4.63,-5.14,-6.29,-16.64,-5.43,-29.44
HMAAGRO,Meat Products including Poultry,3.23,3.47,2.33,3.23,3.4,-6.67,-2.17,-20.24
HMVL,Print Media,0.58,2.35,1.54,-1.7,-1.23,-3.37,2.49,-0.34
HNDFDS,Diversified FMCG,-0.03,2.91,-3.51,-2.62,-5.75,-2.05,-4.34,4.66
HNGSNGBEES,ETF,-2.99,-0.28,2.02,2.55,1.78,14.69,8.59,35.49
HOMEFIRST,Housing Finance Company,1.79,3.75,3.19,1.05,-9.11,1.07,17.75,22.9
HONASA,Personal Care,5.52,5.23,14.28,11.46,9.41,-5.21,27.74,21.77
HONAUT,Industrial Products,0.9,2.93,2.5,-1.86,-6.4,-2.38,14.06,-10.0
HONDAPOWER,Industrial Products,1.03,8.38,5.94,6.63,3.02,1.39,42.84,11.81
HPAL,Specialty Chemicals,1.71,2.36,-2.53,-3.77,-7.18,-11.62,-11.09,-39.48
HPIL,Dyes And Pigments,0.85,2.39,-2.86,-10.01,-6.29,1.87,-0.63,-13.58
